,ROI,Behavior,Corr,p-value,nsamples,adjusted-p
8,Frontal_Sup_Orb_R,CBCL-externalizing_score,-0.33678321802007094,0.42295770422957707,15,0.8982752950862952
146,Frontal_Sup_Medial_R,CBCL-depressed_score,0.3361050518691276,0.024997500249975,15,0.4604802677626974
908,Temporal_Inf_R,Vineland-receptive_RAW_SCORE,0.3353060986427899,0.40875912408759124,15,0.8982752950862952
1100,Cerebelum_7b_R,CBCL-som_comp_score,0.3345949514152971,0.0585941405859414,15,0.6188854798730654
916,Frontal_Inf_Tri_L,CBCL-depressed_score,0.3345561806623574,0.0385961403859614,15,0.5458040054580401
1024,Cerebelum_10_R,CBCL-internalizing_score,0.33409128337152805,0.08039196080391961,15,0.6821136068211361
1218,Frontal_Inf_Oper_R,Vineland-domestic_RAW_SCORE,-0.3333347836144341,0.35276472352764726,15,0.8764340957208628
664,Frontal_Mid_L,Vineland-written_RAW_SCORE,-0.332597588203472,0.0347965203479652,15,0.5127908261805398
873,Temporal_Mid_R,Vineland-receptive_RAW_SCORE,0.3323518598882279,0.26017398260173985,15,0.8691767402832163
502,Precentral_L,CBCL-rule_break_behav_score,0.3306398022670997,0.07839216078392161,15,0.6767421417367466
1044,Cerebelum_10_R,Vineland-expressive_RAW_SCORE,0.3306295572683023,0.46215378462153783,15,0.8982752950862952
40,Postcentral_L,CBCL-conduct_prob_score,0.3304547891120037,0.09019098090190981,15,0.6906856484162904
598,Parietal_Sup_R,CBCL-attention_hyper_prob_score,-0.33040333825928003,0.35636436356364365,15,0.8764340957208628
237,Temporal_Pole_Mid_R,Vineland-copy_skills_RAW_SCORE,-0.3298972649910137,0.0165983401659834,15,0.43106800431068
301,Thalamus_R,"VSA DAS_SA,matrices_ABILITY_SCORE",0.32988411512494004,0.37876212378762125,15,0.8823077758779864
392,Occipital_Mid_R,CBCL-depressive_prob_score,0.3297498564642074,0.1603839616038396,15,0.7742674008461222
657,Frontal_Mid_L,Vineland-copy_skills_RAW_SCORE,-0.3254789980491697,0.041195880411958805,15,0.56543365271316
1030,Cerebelum_10_R,CBCL-som_comp_score,0.325427966445015,0.0903909609039096,15,0.6906856484162904
43,Postcentral_L,CBCL-externalizing_score,0.3249662630018228,0.11098890110988902,15,0.6999300069993002
264,Frontal_Sup_R,CBCL-total_problems_score,0.3244851875892721,0.09619038096190381,15,0.6906856484162904
599,Parietal_Sup_R,CBCL-attention_prob_score,-0.3237293881014919,0.3103689631036896,15,0.8764340957208628
1034,Cerebelum_10_R,CBCL-total_problems_score,0.32301025491841173,0.0973902609739026,15,0.6906856484162904
36,Postcentral_L,CBCL-anx_prob_score,0.3223827637027251,0.09959004099590041,15,0.6906856484162904
1331,Occipital_Inf_R,CBCL-anx_prob_score,0.3223827637027251,0.07639236076392361,15,0.6677593110254192
174,Frontal_Sup_Medial_R,Vineland-written_RAW_SCORE,-0.32229589299362993,0.12858714128587143,15,0.735464915046957
193,Frontal_Sup_Orb_L,CBCL-thought_prob_score,-0.3221538705338725,0.1665833416658334,15,0.774501989053431
524,Precentral_L,Vineland-written_RAW_SCORE,-0.3208242222493668,0.10838916108389161,15,0.6960771812726984
919,Frontal_Inf_Tri_L,CBCL-internalizing_score,0.32072763203666693,0.04939506049395061,15,0.5828925304190892
1376,Frontal_Mid_Orb_R,CBCL-oppo_def_prob_score,-0.3204461136399292,0.36676332366763326,15,0.8764340957208628
1201,Frontal_Inf_Oper_R,CBCL-oppo_def_prob_score,-0.3204461136399292,0.3615638436156384,15,0.8764340957208628
915,Frontal_Inf_Tri_L,CBCL-conduct_prob_score,0.31984385551666417,0.050794920507949204,15,0.5828925304190892
1369,Frontal_Mid_Orb_R,CBCL-attention_prob_score,-0.31929473894941673,0.38976102389761025,15,0.894992467966318
216,Temporal_Pole_Mid_R,CBCL-depressed_score,0.3190674685946557,0.09019098090190981,15,0.6906856484162904
983,Cerebelum_Crus2_R,CBCL-attention_hyper_prob_score,-0.318388671413488,0.5495450454954505,15,0.9242086544033769
674,Frontal_Inf_Tri_R,CBCL-internalizing_score,0.3177579317400311,0.1075892410758924,15,0.6954143295347884
